parameters,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"thetas[15,19]",-3.04674,0.0502065,2.67594,2.64695,-7.38455,-3.0663,1.36436,2871.31,2411.44,1.00217
"thetas[15,20]",-6.02198,0.0507406,2.63617,2.63887,-10.3326,-5.96337,-1.77455,2708.3,3027.12,1.00078
"thetas[15,21]",-9.35871,0.0513535,2.53078,2.5372,-13.5667,-9.34473,-5.28916,2501.36,2724.73,0.999998
"thetas[15,22]",-8.64368,0.0557896,2.5249,2.54431,-12.8338,-8.58452,-4.50032,2031.92,2426.92,1.00287
"thetas[15,23]",-0.671961,0.0605906,2.5344,2.50004,-4.83261,-0.684716,3.51173,1764.64,2480.57,1.00198
"thetas[15,24]",-0.808961,0.0575365,2.5336,2.55951,-4.99331,-0.783908,3.39612,2004.12,2781.21,1.00181
"thetas[15,25]",-4.8174,0.0515625,2.69159,2.66417,-9.31659,-4.77204,-0.425974,2795.56,2858.45,1.00134
"thetas[16,1]",0.600773,0.0527733,2.85803,2.88532,-4.01596,0.642533,5.28444,2998.16,3028.3,1.0001
"thetas[16,2]",0.72089,0.0571257,2.64591,2.5589,-3.62961,0.664573,5.19855,2208.2,2434.1,0.999733
"thetas[16,3]",4.46148,0.0546996,2.65486,2.67401,0.123235,4.43169,8.79926,2369.97,2366.03,1.00013
"thetas[16,4]",6.68672,0.0525886,2.55757,2.53981,2.44452,6.68851,10.9147,2426.75,2608.99,1.00127
"thetas[16,5]",4.76028,0.0538671,2.61171,2.6707,0.432014,4.76966,9.03243,2431.24,2438.04,0.999843
"thetas[16,6]",4.45168,0.0491346,2.57243,2.58014,0.147568,4.45545,8.65638,2758.74,2494.1,1.00102
"thetas[16,7]",0.358699,0.0521416,2.58946,2.54244,-3.91988,0.380507,4.69891,2535.57,2322.35,1.00088
"thetas[16,8]",-4.87975,0.0542677,2.55872,2.53525,-9.17471,-4.8042,-0.8118,2272.65,3053.84,1.00111
"thetas[16,9]",-7.21339,0.0563487,2.61316,2.5736,-11.4808,-7.23324,-2.91318,2189.47,2811.13,1.00191
"thetas[16,10]",-6.46276,0.06065,2.55372,2.60193,-10.6781,-6.47102,-2.30972,1933.93,2365.25,1.00338
"thetas[16,11]",-2.58664,0.0494603,2.64214,2.62474,-6.82323,-2.57126,1.85648,2917.55,3052.44,1.00046
"thetas[16,12]",-6.26502,0.0514665,2.52602,2.53614,-10.3863,-6.25503,-1.97772,2430.34,2763.47,1.00222
"thetas[16,13]",-7.94751,0.056962,2.64906,2.72462,-12.3944,-7.92494,-3.7121,2204.72,2830.02,1.00142
